beta,stability,morality,cycle length,generation count,seed
0.125,0.5,0.741,2,13,19561917
0.125,0.5,0.7395,2,18,19561918
0.125,0.5,0.697,2,16,19561919
0.125,0.5,0.824,2,14,19561920
0.125,0.5,0.7795,2,13,19561921
0.125,0.5,0.761,2,10,19561922
0.125,0.5,0.7265,2,13,19561923
0.125,0.5,0.618,2,15,19561924
0.125,1.0,0.928,1,10,19561925
0.125,0.5,0.7395,2,14,19561926
0.125,1.0,0.928,1,7,19561927
0.125,0.5,0.6185,2,17,19561928
0.125,0.5,0.8515,2,15,19561929
0.125,0.5,0.694,2,15,19561930
0.18,0.5,0.662,2,16,19561831
0.18,1.0,0.837,1,11,19561832
0.18,1.0,0.825,1,16,19561833
0.18,0.5,0.783,2,14,19561834
0.18,1.0,0.799,1,19,19561835
0.18,1.0,0.855,1,16,19561836
0.18,1.0,0.874,1,10,19561837
0.18,1.0,0.872,1,9,19561838
0.18,0.5,0.785,2,11,19561839
0.18,0.1667,0.662,6,17,19561840
0.18,0.5,0.743,2,14,19561841
0.18,0.5,0.858,2,10,19561842
0.18,1.0,0.796,1,10,19561843
0.18,0.25,0.719,4,17,19561844
0.18,0.5,0.6055,2,17,19561845
0.18,0.25,0.7588,4,16,19561846
0.18,1.0,0.837,1,11,19561847
0.18,0.5,0.825,2,16,19561848
0.18,0.5,0.7745,2,10,19561849
0.18,0.5,0.7705,2,11,19561850
0.18,1.0,0.814,1,15,19561851
0.18,1.0,0.78,1,13,19561852
0.18,1.0,0.883,1,10,19561853
0.18,1.0,0.908,1,7,19561854
0.18,1.0,0.79,1,18,19561855
0.18,1.0,0.812,1,10,19561856
0.18,1.0,0.826,1,10,19561857
0.18,1.0,0.785,1,13,19561858
0.18,0.5,0.849,2,15,19561859
0.18,1.0,0.879,1,11,19561860
0.18,0.5,0.707,2,13,19561861
0.18,0.5,0.6555,2,17,19561862
0.18,0.5,0.788,2,15,19561863
0.18,0.5,0.766,2,12,19561864
0.18,0.5,0.819,2,13,19561865
0.18,0.5,0.799,2,18,19561866
0.18,1.0,0.818,1,12,19561867
0.18,1.0,0.822,1,11,19561868
0.18,1.0,0.793,1,12,19561869
0.18,0.5,0.74,2,15,19561870
0.18,1.0,0.945,1,8,19561871
0.18,0.5,0.829,2,13,19561872
0.18,0.5,0.76,2,13,19561873
0.18,0.5,0.7465,2,12,19561874
0.18,1.0,0.768,1,10,19561875
0.18,0.5,0.664,2,16,19561876
0.18,1.0,0.879,1,16,19561877
0.18,0.5,0.772,2,16,19561878
0.18,1.0,0.813,1,13,19561879
0.18,0.5,0.809,2,12,19561880
0.18,0.5,0.806,2,13,19561881
0.18,0.5,0.533,2,14,19561882
0.18,0.5,0.818,2,15,19561883
0.18,0.5,0.772,2,14,19561884
0.18,1.0,0.895,1,11,19561885
0.18,0.5,0.7465,2,12,19561886
0.18,1.0,0.87,1,13,19561887
0.18,0.25,0.686,4,19,19561888
0.18,1.0,0.854,1,9,19561889
0.18,1.0,0.768,1,12,19561890
0.18,1.0,0.887,1,9,19561891
0.18,0.5,0.815,2,13,19561892
0.18,1.0,0.782,1,17,19561893
0.18,0.25,0.867,4,14,19561894
0.18,0.5,0.825,2,11,19561895
0.18,0.5,0.6695,2,17,19561896
0.18,0.5,0.761,2,13,19561897
0.18,1.0,0.79,1,9,19561898
0.18,0.5,0.7505,2,14,19561899
0.18,0.5,0.889,2,13,19561900
0.18,0.5,0.787,2,12,19561901
0.18,0.5,0.712,2,12,19561902
0.18,0.25,0.578,4,18,19561903
0.18,1.0,0.792,1,11,19561904
0.18,1.0,0.745,1,14,19561905
0.18,1.0,0.823,1,20,19561906
0.18,0.5,0.866,2,15,19561907
0.18,0.5,0.812,2,19,19561908
0.18,0.5,0.5075,2,23,19561909
0.18,0.5,0.848,2,11,19561910
0.18,1.0,0.814,1,14,19561911
0.18,1.0,0.817,1,14,19561912
0.18,1.0,0.856,1,11,19561913
0.18,1.0,0.86,1,11,19561914
0.18,0.5,0.81,2,10,19561915
0.18,0.5,0.8865,2,10,19561916
0.18,0.5,0.8175,2,11,19561917
0.18,0.5,0.736,2,15,19561918
0.18,0.5,0.8365,2,10,19561919
0.18,0.5,0.855,2,15,19561920
0.18,0.5,0.727,2,13,19561921
0.18,0.5,0.7345,2,16,19561922
0.18,1.0,0.797,1,14,19561923
0.18,0.5,0.6835,2,15,19561924
0.18,1.0,0.804,1,11,19561925
0.18,0.5,0.775,2,13,19561926
0.18,1.0,0.811,1,12,19561927
0.18,1.0,0.838,1,11,19561928
0.18,1.0,0.771,1,15,19561929
0.18,1.0,0.797,1,10,19561930
0.28,1.0,0.857,1,11,19561831
0.28,1.0,0.829,1,13,19561832
0.28,1.0,0.88,1,10,19561833
0.28,1.0,0.942,1,9,19561834
0.28,1.0,0.91,1,11,19561835
0.28,1.0,0.88,1,8,19561836
0.28,1.0,0.841,1,12,19561837
0.28,1.0,0.819,1,18,19561838
0.28,1.0,0.864,1,10,19561839
0.28,1.0,0.87,1,10,19561840
0.28,1.0,0.883,1,9,19561841
0.28,1.0,0.862,1,9,19561842
0.28,1.0,0.927,1,8,19561843
0.28,0.5,0.712,2,11,19561844
0.28,1.0,0.889,1,8,19561845
0.28,1.0,0.743,1,14,19561846
0.28,1.0,0.832,1,10,19561847
0.28,1.0,0.8,1,10,19561848
0.28,1.0,0.88,1,12,19561849
0.28,1.0,0.912,1,10,19561850
0.28,1.0,0.836,1,10,19561851
0.28,1.0,0.878,1,17,19561852
0.28,1.0,0.901,1,8,19561853
0.28,1.0,0.871,1,10,19561854
0.28,0.5,0.844,2,14,19561855
0.28,1.0,0.937,1,10,19561856
0.28,0.5,0.738,2,13,19561857
0.28,1.0,0.899,1,11,19561858
0.28,1.0,0.913,1,8,19561859
0.28,1.0,0.837,1,13,19561860
0.28,1.0,0.901,1,7,19561861
0.28,1.0,0.874,1,12,19561862
0.28,1.0,0.868,1,13,19561863
0.28,1.0,0.873,1,17,19561864
0.28,1.0,0.909,1,12,19561865
0.28,1.0,0.768,1,12,19561866
0.28,1.0,0.878,1,14,19561867
0.28,1.0,0.904,1,10,19561868
0.28,1.0,0.913,1,20,19561869
0.28,0.5,0.8145,2,12,19561870
0.28,1.0,0.767,1,12,19561871
0.28,0.5,0.807,2,13,19561872
0.28,1.0,0.866,1,12,19561873
0.28,1.0,0.883,1,10,19561874
0.28,1.0,0.833,1,12,19561875
0.28,1.0,0.892,1,11,19561876
0.28,0.5,0.823,2,11,19561877
0.28,1.0,0.916,1,7,19561878
0.28,0.5,0.769,2,14,19561879
0.28,1.0,0.891,1,14,19561880
0.28,1.0,0.83,1,10,19561881
0.28,1.0,0.899,1,9,19561882
0.28,1.0,0.896,1,11,19561883
0.28,1.0,0.851,1,15,19561884
0.28,1.0,0.877,1,9,19561885
0.28,1.0,0.875,1,11,19561886
0.28,1.0,0.921,1,8,19561887
0.28,1.0,0.857,1,10,19561888
0.28,1.0,0.87,1,9,19561889
0.28,1.0,0.838,1,12,19561890
0.28,1.0,0.877,1,13,19561891
0.28,0.5,0.734,2,12,19561892
0.28,1.0,0.894,1,10,19561893
0.28,1.0,0.836,1,11,19561894
0.28,1.0,0.866,1,9,19561895
0.28,1.0,0.844,1,8,19561896
0.28,1.0,0.749,1,23,19561897
0.28,1.0,0.908,1,7,19561898
0.28,1.0,0.877,1,14,19561899
0.28,0.5,0.755,2,15,19561900
0.28,0.5,0.8335,2,13,19561901
0.28,1.0,0.812,1,10,19561902
0.28,0.25,0.7262,4,20,19561903
0.28,1.0,0.925,1,8,19561904
0.28,1.0,0.849,1,9,19561905
0.28,1.0,0.821,1,11,19561906
0.28,1.0,0.883,1,10,19561907
0.28,1.0,0.885,1,11,19561908
0.28,1.0,0.855,1,13,19561909
0.28,1.0,0.852,1,7,19561910
0.28,0.5,0.757,2,19,19561911
0.28,1.0,0.927,1,7,19561912
0.28,1.0,0.867,1,11,19561913
0.28,1.0,0.892,1,9,19561914
0.28,1.0,0.839,1,14,19561915
0.28,1.0,0.919,1,7,19561916
0.28,1.0,0.868,1,10,19561917
0.28,1.0,0.88,1,10,19561918
0.28,1.0,0.893,1,9,19561919
0.28,1.0,0.848,1,10,19561920
0.28,1.0,0.861,1,14,19561921
0.28,1.0,0.812,1,8,19561922
0.28,1.0,0.816,1,14,19561923
0.28,1.0,0.821,1,17,19561924
0.28,1.0,0.771,1,11,19561925
0.28,0.5,0.805,2,12,19561926
0.28,1.0,0.867,1,11,19561927
0.28,1.0,0.935,1,8,19561928
0.28,1.0,0.882,1,10,19561929
0.28,1.0,0.877,1,10,19561930
