beta,stability,morality,cycle length,generation count,seed
0.18,1.0,0.007,1,4,19561833
0.18,1.0,0.0,1,5,19561834
0.18,1.0,0.016,1,6,19561835
0.18,1.0,0.0,1,4,19561836
0.18,1.0,0.009,1,4,19561837
0.18,1.0,0.0,1,4,19561838
0.18,1.0,0.038,1,5,19561839
0.18,1.0,0.012,1,4,19561840
0.18,1.0,0.007,1,6,19561841
0.18,1.0,0.0,1,4,19561842
0.18,1.0,0.02,1,4,19561843
0.18,1.0,0.005,1,3,19561844
0.18,1.0,0.013,1,5,19561845
0.18,1.0,0.007,1,5,19561846
0.18,1.0,0.014,1,5,19561847
0.18,1.0,0.014,1,4,19561848
0.18,1.0,0.021,1,5,19561849
0.18,1.0,0.008,1,7,19561850
0.18,1.0,0.015,1,4,19561851
0.18,1.0,0.012,1,4,19561852
0.18,1.0,0.005,1,4,19561853
0.18,1.0,0.006,1,5,19561854
0.18,1.0,0.013,1,4,19561855
0.18,1.0,0.015,1,5,19561856
0.18,1.0,0.008,1,4,19561857
0.18,1.0,0.013,1,4,19561858
0.18,1.0,0.008,1,4,19561859
0.18,1.0,0.0,1,4,19561860
0.18,1.0,0.0,1,4,19561861
0.18,1.0,0.024,1,4,19561862
0.18,1.0,0.02,1,4,19561863
0.18,1.0,0.03,1,4,19561864
0.18,1.0,0.0,1,6,19561865
0.18,1.0,0.01,1,4,19561866
0.18,1.0,0.024,1,4,19561867
0.18,1.0,0.008,1,4,19561868
0.18,1.0,0.017,1,7,19561869
0.18,1.0,0.009,1,6,19561870
0.18,1.0,0.0,1,3,19561871
0.18,1.0,0.014,1,4,19561872
0.18,1.0,0.026,1,4,19561873
0.18,1.0,0.007,1,4,19561874
0.18,1.0,0.029,1,6,19561875
0.18,1.0,0.028,1,4,19561876
0.18,1.0,0.008,1,4,19561877
0.18,1.0,0.02,1,6,19561878
0.18,1.0,0.007,1,4,19561879
0.18,1.0,0.0,1,5,19561880
0.18,1.0,0.006,1,4,19561881
0.18,1.0,0.014,1,4,19561882
0.18,1.0,0.0,1,5,19561883
0.18,1.0,0.008,1,5,19561884
0.18,1.0,0.0,1,6,19561885
0.18,1.0,0.0,1,4,19561886
0.18,1.0,0.0,1,4,19561887
0.18,1.0,0.029,1,5,19561888
0.18,1.0,0.006,1,4,19561889
0.18,1.0,0.006,1,5,19561890
0.18,1.0,0.028,1,5,19561891
0.18,1.0,0.021,1,5,19561892
0.18,1.0,0.033,1,5,19561893
0.18,1.0,0.0,1,4,19561894
0.18,1.0,0.008,1,3,19561895
0.18,1.0,0.008,1,4,19561896
0.18,1.0,0.008,1,6,19561897
0.18,1.0,0.016,1,5,19561898
