defection incentive,stability,morality,cycle length,generation count,seed
5.0,1.0,0.0,1,4,19561844
5.0,1.0,0.0,1,3,19561845
5.0,1.0,0.0,1,3,19561846
5.0,1.0,0.0,1,4,19561847
5.0,1.0,0.0,1,3,19561848
5.0,1.0,0.0,1,4,19561849
5.0,1.0,0.0,1,3,19561850
5.0,1.0,0.0,1,4,19561851
5.0,1.0,0.0,1,4,19561852
5.0,1.0,0.0,1,5,19561853
5.0,1.0,0.0,1,4,19561854
5.0,1.0,0.0,1,4,19561855
5.0,1.0,0.0,1,3,19561856
5.0,1.0,0.0,1,3,19561857
5.0,1.0,0.0,1,5,19561858
5.0,1.0,0.0,1,4,19561859
5.0,1.0,0.0,1,3,19561860
5.0,1.0,0.0,1,3,19561861
5.0,1.0,0.0,1,4,19561862
5.0,1.0,0.0,1,4,19561863
5.0,1.0,0.0,1,5,19561864
5.0,1.0,0.0,1,3,19561865
5.0,1.0,0.0,1,3,19561866
5.0,1.0,0.0,1,5,19561867
5.0,1.0,0.0,1,4,19561868
5.0,1.0,0.0,1,3,19561869
5.0,1.0,0.0,1,3,19561870
5.0,1.0,0.0,1,4,19561871
5.0,1.0,0.0,1,4,19561872
5.0,1.0,0.0,1,3,19561873
5.0,1.0,0.0,1,4,19561874
5.0,1.0,0.0,1,5,19561875
5.0,1.0,0.0,1,3,19561876
5.0,1.0,0.0,1,3,19561877
5.0,1.0,0.0,1,4,19561878
5.0,1.0,0.0,1,4,19561879
5.0,1.0,0.0,1,3,19561880
5.0,1.0,0.0,1,4,19561881
5.0,1.0,0.0,1,3,19561882
5.0,1.0,0.0,1,5,19561883
5.0,1.0,0.0,1,3,19561884
5.0,1.0,0.0,1,3,19561885
5.0,1.0,0.0,1,3,19561886
5.0,1.0,0.0,1,3,19561887
5.0,1.0,0.0,1,3,19561888
5.0,1.0,0.0,1,4,19561889
5.0,1.0,0.0,1,4,19561890
5.0,1.0,0.0,1,6,19561891
5.0,1.0,0.0,1,3,19561892
5.0,1.0,0.0,1,3,19561893
5.0,1.0,0.0,1,4,19561894
5.0,1.0,0.0,1,4,19561895
5.0,1.0,0.0,1,3,19561896
5.0,1.0,0.0,1,3,19561897
5.0,1.0,0.0,1,4,19561898
5.0,1.0,0.0,1,4,19561899
5.0,1.0,0.0,1,3,19561900
5.0,1.0,0.0,1,4,19561901
5.0,1.0,0.0,1,3,19561902
5.0,1.0,0.0,1,3,19561903
5.0,1.0,0.0,1,3,19561904
5.0,1.0,0.0,1,3,19561905
5.0,1.0,0.0,1,4,19561906
5.0,1.0,0.0,1,3,19561907
5.0,1.0,0.0,1,4,19561908
5.0,1.0,0.0,1,4,19561909
5.0,1.0,0.0,1,4,19561910
5.0,1.0,0.0,1,3,19561911
5.0,1.0,0.0,1,5,19561912
5.0,1.0,0.0,1,4,19561913
5.0,1.0,0.0,1,3,19561914
5.0,1.0,0.0,1,4,19561915
5.0,1.0,0.0,1,3,19561916
5.0,1.0,0.0,1,3,19561917
5.0,1.0,0.0,1,4,19561918
5.0,1.0,0.0,1,3,19561919
5.0,1.0,0.0,1,4,19561920
5.0,1.0,0.0,1,4,19561921
5.0,1.0,0.0,1,3,19561922
5.0,1.0,0.0,1,4,19561923
5.0,1.0,0.0,1,3,19561924
5.0,1.0,0.0,1,3,19561925
5.0,1.0,0.0,1,3,19561926
5.0,1.0,0.0,1,3,19561927
5.0,1.0,0.0,1,3,19561928
5.0,1.0,0.0,1,3,19561929
5.0,1.0,0.0,1,3,19561930
