learning rule,stability,morality,cycle length,generation count,seed
IAvg,0.25,0.016,4,32,19561879
IAvg,0.0833,0.006,12,30,19561880
IAvg,0.25,0.011,4,25,19561881
IAvg,0.0833,0.008,12,29,19561882
IAvg,0.25,0.031,4,19,19561883
IAvg,0.25,0.0,4,34,19561884
IAvg,0.0833,0.008,12,31,19561885
IAvg,0.0833,0.015,12,38,19561886
IAvg,0.25,0.023,4,20,19561887
IAvg,0.25,0.012,4,29,19561888
IAvg,0.25,0.008,4,20,19561889
IAvg,0.0833,0.0,12,38,19561890
IAvg,0.05,0.023,20,46,19561891
IAvg,0.25,0.008,4,23,19561892
IAvg,0.25,0.035,4,26,19561893
IAvg,0.25,0.005,4,27,19561894
IAvg,0.0833,0.016,12,41,19561895
IAvg,0.25,0.016,4,21,19561896
IAvg,0.25,0.023,4,18,19561897
IAvg,0.0833,0.008,12,34,19561898
IAvg,0.0833,0.0,12,36,19561899
IAvg,0.0833,0.0,12,33,19561900
IAvg,0.0833,0.0,12,34,19561901
IAvg,0.0833,0.007,12,30,19561902
IAvg,0.25,0.013,4,20,19561903
IAvg,0.0833,0.038,12,27,19561904
IAvg,0.25,0.066,4,22,19561905
IAvg,0.25,0.015,4,25,19561906
IAvg,0.0833,0.075,12,31,19561907
IAvg,0.25,0.057,4,26,19561908
IAvg,0.25,0.007,4,18,19561909
IAvg,0.0833,0.008,12,31,19561910
IAvg,0.25,0.008,4,29,19561911
IAvg,0.25,0.014,4,24,19561912
IAvg,0.25,0.0,4,21,19561913
IAvg,0.25,0.039,4,25,19561914
IAvg,0.25,0.0,4,43,19561915
IAvg,0.25,0.008,4,21,19561916
IAvg,0.25,0.027,4,21,19561917
IAvg,0.25,0.041,4,21,19561918
IAvg,0.25,0.055,4,29,19561919
IAvg,0.25,0.008,4,23,19561920
IAvg,0.0833,0.008,12,28,19561921
IAvg,0.0833,0.008,12,36,19561922
IAvg,0.25,0.0,4,30,19561923
IAvg,0.25,0.021,4,24,19561924
IAvg,0.25,0.054,4,20,19561925
IAvg,0.0833,0.023,12,31,19561926
IAvg,0.25,0.007,4,25,19561927
IAvg,0.25,0.015,4,21,19561928
IAvg,0.25,0.015,4,33,19561929
IAvg,0.0833,0.036,12,32,19561930
BestR,1.0,0.0,1,3,19561831
BestR,1.0,0.0,1,4,19561832
BestR,1.0,0.0,1,3,19561833
BestR,1.0,0.0,1,3,19561834
BestR,1.0,0.0,1,3,19561835
BestR,1.0,0.0,1,3,19561836
BestR,1.0,0.0,1,3,19561837
BestR,1.0,0.0,1,4,19561838
BestR,1.0,0.0,1,3,19561839
BestR,1.0,0.0,1,4,19561840
BestR,1.0,0.0,1,3,19561841
BestR,1.0,0.0,1,3,19561842
BestR,1.0,0.0,1,3,19561843
BestR,1.0,0.0,1,3,19561844
BestR,1.0,0.0,1,4,19561845
BestR,1.0,0.0,1,3,19561846
BestR,1.0,0.0,1,3,19561847
BestR,1.0,0.0,1,3,19561848
BestR,1.0,0.0,1,3,19561849
BestR,1.0,0.0,1,3,19561850
BestR,1.0,0.0,1,3,19561851
BestR,1.0,0.0,1,3,19561852
BestR,1.0,0.0,1,3,19561853
BestR,1.0,0.0,1,3,19561854
BestR,1.0,0.0,1,3,19561855
BestR,1.0,0.0,1,3,19561856
BestR,1.0,0.0,1,3,19561857
BestR,1.0,0.0,1,3,19561858
BestR,1.0,0.0,1,4,19561859
BestR,1.0,0.0,1,4,19561860
BestR,1.0,0.0,1,3,19561861
BestR,1.0,0.0,1,3,19561862
BestR,1.0,0.0,1,3,19561863
BestR,1.0,0.0,1,3,19561864
BestR,1.0,0.0,1,3,19561865
BestR,1.0,0.0,1,3,19561866
BestR,1.0,0.0,1,3,19561867
BestR,1.0,0.0,1,3,19561868
BestR,1.0,0.0,1,3,19561869
BestR,1.0,0.0,1,3,19561870
BestR,1.0,0.0,1,3,19561871
BestR,1.0,0.0,1,3,19561872
BestR,1.0,0.0,1,4,19561873
BestR,1.0,0.0,1,3,19561874
BestR,1.0,0.0,1,3,19561875
BestR,1.0,0.0,1,3,19561876
BestR,1.0,0.0,1,3,19561877
BestR,1.0,0.0,1,3,19561878
BestR,1.0,0.0,1,4,19561879
BestR,1.0,0.0,1,3,19561880
BestR,1.0,0.0,1,3,19561881
BestR,1.0,0.0,1,3,19561882
BestR,1.0,0.0,1,3,19561883
BestR,1.0,0.0,1,3,19561884
BestR,1.0,0.0,1,3,19561885
BestR,1.0,0.0,1,3,19561886
BestR,1.0,0.0,1,3,19561887
BestR,1.0,0.0,1,3,19561888
BestR,1.0,0.0,1,3,19561889
BestR,1.0,0.0,1,3,19561890
BestR,1.0,0.0,1,3,19561891
BestR,1.0,0.0,1,3,19561892
BestR,1.0,0.0,1,3,19561893
BestR,1.0,0.0,1,3,19561894
BestR,1.0,0.0,1,3,19561895
BestR,1.0,0.0,1,3,19561896
BestR,1.0,0.0,1,3,19561897
BestR,1.0,0.0,1,3,19561898
BestR,1.0,0.0,1,3,19561899
BestR,1.0,0.0,1,3,19561900
BestR,1.0,0.0,1,3,19561901
BestR,1.0,0.0,1,3,19561902
BestR,1.0,0.0,1,3,19561903
BestR,1.0,0.0,1,3,19561904
BestR,1.0,0.0,1,3,19561905
BestR,1.0,0.0,1,3,19561906
BestR,1.0,0.0,1,3,19561907
BestR,1.0,0.0,1,4,19561908
BestR,1.0,0.0,1,3,19561909
