learning rule,stability,morality,cycle length,generation count,seed
IAvg,1.0,0.25,1,21,19561873
IAvg,0.5,0.288,2,22,19561874
IAvg,1.0,0.143,1,13,19561875
IAvg,0.5,0.289,2,13,19561876
IAvg,1.0,0.182,1,16,19561877
IAvg,0.5,0.32,2,14,19561878
IAvg,0.5,0.218,2,13,19561879
IAvg,0.5,0.257,2,13,19561880
IAvg,1.0,0.239,1,12,19561881
IAvg,0.5,0.219,2,20,19561882
IAvg,0.5,0.234,2,15,19561883
IAvg,1.0,0.115,1,15,19561884
IAvg,1.0,0.177,1,11,19561885
IAvg,1.0,0.26,1,12,19561886
IAvg,0.5,0.155,2,19,19561887
IAvg,0.5,0.214,2,16,19561888
IAvg,0.5,0.312,2,13,19561889
IAvg,0.5,0.189,2,16,19561890
IAvg,0.5,0.173,2,19,19561891
IAvg,0.5,0.215,2,29,19561892
IAvg,1.0,0.132,1,15,19561893
IAvg,0.5,0.244,2,15,19561894
IAvg,0.5,0.241,2,34,19561895
IAvg,0.5,0.195,2,13,19561896
IAvg,0.5,0.21,2,22,19561897
IAvg,1.0,0.245,1,10,19561898
IAvg,0.5,0.165,2,15,19561899
IAvg,0.5,0.423,2,23,19561900
IAvg,0.5,0.103,2,15,19561901
IAvg,1.0,0.242,1,16,19561902
IAvg,0.5,0.269,2,20,19561903
IAvg,0.5,0.292,2,14,19561904
IAvg,1.0,0.345,1,15,19561905
IAvg,0.5,0.412,2,18,19561906
IAvg,1.0,0.176,1,15,19561907
IAvg,0.5,0.108,2,10,19561908
IAvg,0.5,0.25,2,14,19561909
IAvg,0.5,0.364,2,13,19561910
IAvg,0.5,0.164,2,18,19561911
IAvg,0.5,0.255,2,28,19561912
IAvg,0.5,0.248,2,14,19561913
IAvg,0.5,0.33,2,16,19561914
IAvg,0.5,0.246,2,17,19561915
IAvg,0.5,0.255,2,18,19561916
IAvg,1.0,0.156,1,13,19561917
IAvg,1.0,0.242,1,12,19561918
IAvg,0.5,0.374,2,19,19561919
IAvg,0.5,0.189,2,25,19561920
IAvg,0.5,0.15,2,9,19561921
IAvg,0.5,0.295,2,20,19561922
IAvg,0.5,0.23,2,18,19561923
IAvg,0.5,0.146,2,11,19561924
IAvg,0.5,0.229,2,33,19561925
IAvg,1.0,0.119,1,17,19561926
IAvg,0.5,0.179,2,13,19561927
IAvg,0.5,0.21,2,14,19561928
IAvg,0.5,0.153,2,12,19561929
IAvg,1.0,0.083,1,19,19561930
BestR,1.0,0.0,1,4,19561831
BestR,1.0,0.0,1,4,19561832
BestR,1.0,0.0,1,4,19561833
BestR,1.0,0.0,1,3,19561834
BestR,1.0,0.0,1,4,19561835
BestR,1.0,0.0,1,5,19561836
BestR,1.0,0.0,1,3,19561837
BestR,1.0,0.0,1,4,19561838
BestR,1.0,0.0,1,4,19561839
BestR,1.0,0.0,1,5,19561840
BestR,1.0,0.0,1,3,19561841
BestR,1.0,0.0,1,4,19561842
BestR,1.0,0.0,1,4,19561843
BestR,1.0,0.0,1,3,19561844
BestR,1.0,0.0,1,4,19561845
BestR,1.0,0.0,1,3,19561846
BestR,1.0,0.0,1,4,19561847
BestR,1.0,0.0,1,4,19561848
BestR,1.0,0.0,1,4,19561849
BestR,1.0,0.0,1,3,19561850
BestR,1.0,0.0,1,4,19561851
BestR,1.0,0.0,1,4,19561852
BestR,1.0,0.0,1,3,19561853
BestR,1.0,0.0,1,4,19561854
BestR,1.0,0.0,1,3,19561855
BestR,1.0,0.0,1,4,19561856
BestR,1.0,0.0,1,4,19561857
BestR,1.0,0.0,1,3,19561858
BestR,1.0,0.0,1,4,19561859
BestR,1.0,0.0,1,3,19561860
BestR,1.0,0.0,1,4,19561861
BestR,1.0,0.0,1,3,19561862
BestR,1.0,0.0,1,4,19561863
BestR,1.0,0.0,1,4,19561864
BestR,1.0,0.0,1,3,19561865
BestR,1.0,0.0,1,3,19561866
BestR,1.0,0.0,1,4,19561867
BestR,1.0,0.0,1,4,19561868
BestR,1.0,0.0,1,3,19561869
BestR,1.0,0.0,1,4,19561870
BestR,1.0,0.0,1,4,19561871
BestR,1.0,0.0,1,4,19561872
BestR,1.0,0.0,1,3,19561873
BestR,1.0,0.0,1,4,19561874
BestR,1.0,0.0,1,3,19561875
BestR,1.0,0.0,1,4,19561876
BestR,1.0,0.0,1,4,19561877
BestR,1.0,0.0,1,4,19561878
BestR,1.0,0.0,1,4,19561879
BestR,1.0,0.0,1,4,19561880
BestR,1.0,0.0,1,4,19561881
BestR,1.0,0.0,1,3,19561882
BestR,1.0,0.0,1,4,19561883
BestR,1.0,0.0,1,3,19561884
BestR,1.0,0.0,1,3,19561885
BestR,1.0,0.0,1,3,19561886
BestR,1.0,0.0,1,4,19561887
BestR,1.0,0.0,1,4,19561888
BestR,1.0,0.0,1,4,19561889
BestR,1.0,0.0,1,4,19561890
BestR,1.0,0.0,1,4,19561891
BestR,1.0,0.0,1,3,19561892
BestR,1.0,0.0,1,3,19561893
BestR,1.0,0.0,1,3,19561894
BestR,1.0,0.0,1,3,19561895
BestR,1.0,0.0,1,3,19561896
BestR,1.0,0.0,1,4,19561897
BestR,1.0,0.0,1,4,19561898
BestR,1.0,0.0,1,3,19561899
BestR,1.0,0.0,1,4,19561900
BestR,1.0,0.0,1,3,19561901
BestR,1.0,0.0,1,4,19561902
BestR,1.0,0.0,1,3,19561903
BestR,1.0,0.0,1,4,19561904
BestR,1.0,0.0,1,3,19561905
