learning rule,stability,morality,cycle length,generation count,seed
BestR,0.5,0.299,2,7,19561904
BestR,0.5,0.2735,2,12,19561905
BestR,0.5,0.1675,2,7,19561906
BestR,0.5,0.375,2,15,19561907
BestR,0.5,0.348,2,13,19561908
BestR,0.5,0.29,2,7,19561909
BestR,0.5,0.251,2,9,19561910
BestR,0.5,0.208,2,9,19561911
BestR,0.5,0.1885,2,7,19561912
BestR,0.5,0.187,2,9,19561913
BestR,0.5,0.2285,2,9,19561914
BestR,0.5,0.408,2,5,19561915
BestR,0.5,0.402,2,7,19561916
BestR,0.5,0.269,2,5,19561917
BestR,0.5,0.346,2,7,19561918
BestR,0.5,0.2505,2,7,19561919
BestR,0.5,0.217,2,7,19561920
BestR,0.5,0.4295,2,7,19561921
BestR,0.5,0.2035,2,7,19561922
BestR,0.5,0.314,2,8,19561923
BestR,0.5,0.2755,2,13,19561924
BestR,0.5,0.279,2,7,19561925
BestR,0.5,0.4005,2,9,19561926
BestR,0.5,0.3815,2,7,19561927
BestR,0.5,0.2565,2,11,19561928
BestR,0.5,0.399,2,11,19561929
BestR,0.5,0.3505,2,7,19561930
