beta,stability,morality,cycle length,generation count,seed
0.17,1.0,1.0,1,5,19561838
0.17,1.0,1.0,1,5,19561839
0.17,1.0,1.0,1,5,19561840
0.17,1.0,1.0,1,4,19561841
0.17,1.0,1.0,1,5,19561842
0.17,1.0,0.998,1,5,19561843
0.17,1.0,1.0,1,4,19561844
0.17,1.0,1.0,1,7,19561845
0.17,1.0,1.0,1,5,19561846
0.17,1.0,1.0,1,5,19561847
0.17,1.0,1.0,1,5,19561848
0.17,1.0,1.0,1,4,19561849
0.17,1.0,1.0,1,4,19561850
0.17,1.0,1.0,1,4,19561851
0.17,1.0,1.0,1,5,19561852
0.17,1.0,1.0,1,5,19561853
0.17,1.0,1.0,1,10,19561854
0.17,1.0,1.0,1,5,19561855
0.17,1.0,1.0,1,4,19561856
0.17,1.0,1.0,1,4,19561857
0.17,1.0,1.0,1,6,19561858
0.17,1.0,1.0,1,8,19561859
0.17,1.0,1.0,1,6,19561860
0.17,1.0,1.0,1,5,19561861
0.17,1.0,1.0,1,7,19561862
0.17,1.0,1.0,1,4,19561863
0.17,1.0,1.0,1,4,19561864
0.17,1.0,1.0,1,6,19561865
0.17,1.0,1.0,1,5,19561866
0.17,1.0,1.0,1,5,19561867
0.17,1.0,1.0,1,5,19561868
0.17,1.0,1.0,1,6,19561869
0.17,1.0,1.0,1,5,19561870
0.17,1.0,1.0,1,5,19561871
0.17,1.0,1.0,1,5,19561872
0.17,1.0,1.0,1,6,19561873
0.17,1.0,1.0,1,4,19561874
0.17,1.0,1.0,1,5,19561875
0.17,1.0,1.0,1,5,19561876
0.17,1.0,1.0,1,6,19561877
0.17,1.0,1.0,1,5,19561878
0.17,1.0,0.999,1,5,19561879
0.17,1.0,1.0,1,6,19561880
0.17,1.0,1.0,1,5,19561881
0.17,1.0,1.0,1,4,19561882
0.17,1.0,1.0,1,4,19561883
0.17,1.0,1.0,1,5,19561884
0.17,1.0,1.0,1,5,19561885
0.17,1.0,1.0,1,5,19561886
0.17,1.0,1.0,1,4,19561887
0.17,1.0,1.0,1,6,19561888
0.17,1.0,1.0,1,5,19561889
0.17,1.0,1.0,1,7,19561890
0.17,1.0,1.0,1,6,19561891
0.17,1.0,1.0,1,6,19561892
0.17,1.0,1.0,1,4,19561893
0.17,1.0,1.0,1,5,19561894
0.17,1.0,1.0,1,5,19561895
0.17,1.0,1.0,1,6,19561896
0.17,1.0,1.0,1,5,19561897
0.17,1.0,1.0,1,5,19561898
0.17,1.0,1.0,1,5,19561899
0.17,1.0,0.998,1,4,19561900
0.17,1.0,1.0,1,5,19561901
0.17,1.0,1.0,1,5,19561902
0.17,1.0,1.0,1,5,19561903
0.17,1.0,1.0,1,5,19561904
0.17,1.0,1.0,1,6,19561905
0.17,1.0,1.0,1,6,19561906
0.17,1.0,1.0,1,5,19561907
0.17,1.0,1.0,1,5,19561908
0.17,1.0,0.998,1,5,19561909
0.17,1.0,1.0,1,5,19561910
0.17,1.0,1.0,1,5,19561911
0.17,1.0,1.0,1,6,19561912
0.17,1.0,1.0,1,4,19561913
0.17,1.0,1.0,1,6,19561914
0.17,1.0,1.0,1,7,19561915
0.17,1.0,1.0,1,6,19561916
0.17,1.0,1.0,1,6,19561917
0.17,1.0,1.0,1,5,19561918
0.17,1.0,1.0,1,6,19561919
0.17,1.0,1.0,1,6,19561920
0.17,1.0,1.0,1,4,19561921
0.17,1.0,1.0,1,5,19561922
0.17,1.0,1.0,1,6,19561923
0.17,1.0,1.0,1,5,19561924
0.17,1.0,1.0,1,5,19561925
0.17,1.0,1.0,1,4,19561926
0.17,1.0,1.0,1,5,19561927
0.17,1.0,1.0,1,5,19561928
0.17,1.0,1.0,1,6,19561929
0.17,1.0,1.0,1,5,19561930
0.275,1.0,1.0,1,6,19561831
0.275,1.0,1.0,1,6,19561832
0.275,1.0,1.0,1,4,19561833
0.275,1.0,1.0,1,5,19561834
0.275,1.0,1.0,1,6,19561835
0.275,1.0,1.0,1,7,19561836
0.275,1.0,1.0,1,5,19561837
0.275,1.0,1.0,1,4,19561838
0.275,1.0,1.0,1,5,19561839
0.275,1.0,1.0,1,5,19561840
0.275,1.0,1.0,1,5,19561841
0.275,1.0,1.0,1,4,19561842
0.275,1.0,1.0,1,5,19561843
0.275,1.0,1.0,1,5,19561844
0.275,1.0,1.0,1,6,19561845
0.275,1.0,1.0,1,6,19561846
0.275,1.0,1.0,1,5,19561847
0.275,1.0,1.0,1,6,19561848
0.275,1.0,1.0,1,5,19561849
0.275,1.0,1.0,1,5,19561850
0.275,1.0,1.0,1,7,19561851
0.275,1.0,1.0,1,6,19561852
0.275,1.0,1.0,1,5,19561853
0.275,1.0,1.0,1,4,19561854
0.275,1.0,1.0,1,6,19561855
0.275,1.0,1.0,1,5,19561856
0.275,1.0,1.0,1,5,19561857
0.275,1.0,1.0,1,6,19561858
0.275,1.0,1.0,1,4,19561859
0.275,1.0,1.0,1,5,19561860
0.275,1.0,1.0,1,6,19561861
0.275,1.0,1.0,1,6,19561862
0.275,1.0,1.0,1,5,19561863
0.275,1.0,1.0,1,6,19561864
0.275,1.0,1.0,1,5,19561865
0.275,1.0,1.0,1,5,19561866
0.275,1.0,1.0,1,6,19561867
0.275,1.0,1.0,1,6,19561868
0.275,1.0,1.0,1,5,19561869
0.275,1.0,1.0,1,7,19561870
0.275,1.0,1.0,1,6,19561871
0.275,1.0,1.0,1,5,19561872
0.275,1.0,1.0,1,5,19561873
0.275,1.0,1.0,1,7,19561874
0.275,1.0,1.0,1,5,19561875
0.275,1.0,1.0,1,7,19561876
0.275,1.0,1.0,1,5,19561877
0.275,1.0,1.0,1,6,19561878
0.275,1.0,1.0,1,4,19561879
0.275,1.0,1.0,1,5,19561880
0.275,1.0,1.0,1,6,19561881
0.275,1.0,1.0,1,5,19561882
0.275,1.0,1.0,1,3,19561883
0.275,1.0,1.0,1,5,19561884
0.275,1.0,1.0,1,4,19561885
0.275,1.0,1.0,1,6,19561886
0.275,1.0,1.0,1,10,19561887
0.275,1.0,1.0,1,6,19561888
0.275,1.0,1.0,1,5,19561889
0.275,1.0,1.0,1,4,19561890
0.275,1.0,1.0,1,4,19561891
0.275,1.0,1.0,1,7,19561892
0.275,1.0,1.0,1,5,19561893
0.275,1.0,1.0,1,5,19561894
0.275,1.0,1.0,1,6,19561895
0.275,1.0,1.0,1,6,19561896
0.275,1.0,1.0,1,6,19561897
0.275,1.0,1.0,1,4,19561898
0.275,1.0,1.0,1,7,19561899
0.275,1.0,1.0,1,9,19561900
0.275,1.0,1.0,1,6,19561901
0.275,1.0,1.0,1,4,19561902
0.275,1.0,1.0,1,5,19561903
0.275,1.0,1.0,1,5,19561904
0.275,1.0,0.998,1,5,19561905
0.275,1.0,1.0,1,6,19561906
0.275,1.0,1.0,1,7,19561907
0.275,1.0,1.0,1,5,19561908
0.275,1.0,1.0,1,5,19561909
0.275,1.0,1.0,1,5,19561910
0.275,1.0,1.0,1,6,19561911
0.275,1.0,1.0,1,4,19561912
0.275,1.0,1.0,1,6,19561913
0.275,1.0,1.0,1,6,19561914
0.275,1.0,1.0,1,6,19561915
0.275,1.0,1.0,1,5,19561916
0.275,1.0,1.0,1,5,19561917
0.275,1.0,1.0,1,6,19561918
0.275,1.0,1.0,1,6,19561919
0.275,1.0,1.0,1,5,19561920
0.275,1.0,1.0,1,5,19561921
0.275,1.0,1.0,1,4,19561922
0.275,1.0,1.0,1,5,19561923
0.275,1.0,1.0,1,5,19561924
0.275,1.0,1.0,1,4,19561925
0.275,1.0,1.0,1,5,19561926
0.275,1.0,1.0,1,6,19561927
0.275,1.0,1.0,1,5,19561928
0.275,1.0,1.0,1,5,19561929
0.275,1.0,1.0,1,6,19561930
