mutation probability,stability,morality,cycle length,generation count,seed
0.001,0.001,0.156,0,1000,19561888
0.001,0.001,0.0736,0,1000,19561889
0.001,0.001,0.1783,0,1000,19561890
0.001,0.001,0.0808,0,1000,19561891
0.001,0.001,0.1811,0,1000,19561892
0.001,0.001,0.1881,0,1000,19561893
0.001,0.001,0.1773,0,1000,19561894
0.001,0.001,0.0897,0,1000,19561895
0.001,0.001,0.0491,0,1000,19561896
0.001,0.001,0.0741,0,1000,19561897
0.001,0.001,0.2506,0,1000,19561898
0.001,0.001,0.1915,0,1000,19561899
0.001,0.001,0.1637,0,1000,19561900
0.001,0.001,0.14,0,1000,19561901
0.001,0.001,0.0623,0,1000,19561902
0.001,0.001,0.1787,0,1000,19561903
0.001,0.001,0.1549,0,1000,19561904
0.001,0.001,0.1529,0,1000,19561905
0.001,0.001,0.1935,0,1000,19561906
0.001,0.001,0.1804,0,1000,19561907
0.001,0.001,0.3156,0,1000,19561908
0.001,0.001,0.0735,0,1000,19561909
0.001,0.001,0.3566,0,1000,19561910
0.001,0.001,0.1092,0,1000,19561911
0.001,0.001,0.2513,0,1000,19561912
0.001,0.001,0.1783,0,1000,19561913
0.001,0.001,0.0876,0,1000,19561914
0.001,0.001,0.1407,0,1000,19561915
0.001,0.001,0.2113,0,1000,19561916
0.001,0.001,0.2279,0,1000,19561917
0.001,0.001,0.1205,0,1000,19561918
0.001,0.001,0.1061,0,1000,19561919
0.001,0.001,0.1005,0,1000,19561920
0.001,0.001,0.067,0,1000,19561921
0.001,0.001,0.1117,0,1000,19561922
0.001,0.001,0.1598,0,1000,19561923
0.001,0.001,0.264,0,1000,19561924
0.001,0.001,0.1005,0,1000,19561925
0.001,0.001,0.1834,0,1000,19561926
0.001,0.001,0.0763,0,1000,19561927
0.001,0.001,0.1584,0,1000,19561928
0.001,0.001,0.0452,0,1000,19561929
0.001,0.001,0.1055,0,1000,19561930
0.01,0.001,0.0568,0,1000,19561831
0.01,0.001,0.0731,0,1000,19561832
0.01,0.001,0.0133,0,1000,19561833
0.01,0.001,0.2712,0,1000,19561834
0.01,0.001,0.0531,0,1000,19561835
0.01,0.001,0.0526,0,1000,19561836
0.01,0.001,0.0334,0,1000,19561837
0.01,0.001,0.023,0,1000,19561838
0.01,0.001,0.1093,0,1000,19561839
0.01,0.001,0.0648,0,1000,19561840
0.01,0.001,0.0226,0,1000,19561841
0.01,0.001,0.0093,0,1000,19561842
0.01,0.001,0.0249,0,1000,19561843
0.01,0.001,0.033,0,1000,19561844
0.01,0.001,0.1422,0,1000,19561845
0.01,0.001,0.0389,0,1000,19561846
0.01,0.001,0.0613,0,1000,19561847
0.01,0.001,0.0394,0,1000,19561848
0.01,0.001,0.084,0,1000,19561849
0.01,0.001,0.0923,0,1000,19561850
0.01,0.001,0.0351,0,1000,19561851
0.01,0.001,0.0176,0,1000,19561852
0.01,0.001,0.0376,0,1000,19561853
0.01,0.001,0.0603,0,1000,19561854
0.01,0.001,0.0217,0,1000,19561855
0.01,0.001,0.0429,0,1000,19561856
0.01,0.001,0.0173,0,1000,19561857
0.01,0.001,0.0592,0,1000,19561858
0.01,0.001,0.0307,0,1000,19561859
0.01,0.001,0.0269,0,1000,19561860
0.01,0.001,0.0531,0,1000,19561861
0.01,0.001,0.074,0,1000,19561862
0.01,0.001,0.0514,0,1000,19561863
0.01,0.001,0.0294,0,1000,19561864
0.01,0.001,0.0349,0,1000,19561865
0.01,0.001,0.0105,0,1000,19561866
0.01,0.001,0.0187,0,1000,19561867
0.01,0.001,0.0141,0,1000,19561868
0.01,0.001,0.0118,0,1000,19561869
0.01,0.001,0.0279,0,1000,19561870
0.01,0.001,0.0921,0,1000,19561871
0.01,0.001,0.0182,0,1000,19561872
0.01,0.001,0.0387,0,1000,19561873
0.01,0.001,0.0583,0,1000,19561874
0.01,0.001,0.0498,0,1000,19561875
0.01,0.001,0.0806,0,1000,19561876
0.01,0.001,0.0496,0,1000,19561877
0.01,0.001,0.0324,0,1000,19561878
0.01,0.001,0.039,0,1000,19561879
0.01,0.001,0.0225,0,1000,19561880
0.01,0.001,0.0383,0,1000,19561881
0.01,0.001,0.0279,0,1000,19561882
0.01,0.001,0.009,0,1000,19561883
0.01,0.001,0.0093,0,1000,19561884
0.01,0.001,0.026,0,1000,19561885
0.01,0.001,0.0298,0,1000,19561886
0.01,0.001,0.0272,0,1000,19561887
0.01,0.001,0.0591,0,1000,19561888
0.01,0.001,0.0259,0,1000,19561889
0.01,0.001,0.0604,0,1000,19561890
0.01,0.001,0.0573,0,1000,19561891
0.01,0.001,0.0892,0,1000,19561892
0.01,0.001,0.0646,0,1000,19561893
0.01,0.001,0.0604,0,1000,19561894
0.01,0.001,0.0385,0,1000,19561895
0.01,0.001,0.0124,0,1000,19561896
0.01,0.001,0.0197,0,1000,19561897
0.01,0.001,0.057,0,1000,19561898
0.01,0.001,0.0661,0,1000,19561899
0.01,0.001,0.0577,0,1000,19561900
0.01,0.001,0.0468,0,1000,19561901
0.01,0.001,0.0049,0,1000,19561902
0.01,0.001,0.0402,0,1000,19561903
0.01,0.001,0.0519,0,1000,19561904
0.01,0.001,0.0804,0,1000,19561905
0.01,0.001,0.0239,0,1000,19561906
0.01,0.001,0.0333,0,1000,19561907
0.01,0.001,0.0792,0,1000,19561908
0.01,0.001,0.0206,0,1000,19561909
0.01,0.001,0.1141,0,1000,19561910
0.01,0.001,0.0433,0,1000,19561911
0.01,0.001,0.0654,0,1000,19561912
0.01,0.001,0.0396,0,1000,19561913
0.01,0.001,0.0147,0,1000,19561914
0.01,0.001,0.0292,0,1000,19561915
0.01,0.001,0.0498,0,1000,19561916
0.01,0.001,0.0599,0,1000,19561917
0.01,0.001,0.0121,0,1000,19561918
0.01,0.001,0.0304,0,1000,19561919
0.01,0.001,0.0265,0,1000,19561920
0.01,0.001,0.0204,0,1000,19561921
0.01,0.001,0.0732,0,1000,19561922
0.01,0.001,0.0163,0,1000,19561923
0.01,0.001,0.1316,0,1000,19561924
0.01,0.001,0.0642,0,1000,19561925
0.01,0.001,0.037,0,1000,19561926
0.01,0.001,0.0258,0,1000,19561927
0.01,0.001,0.0955,0,1000,19561928
0.01,0.001,0.015,0,1000,19561929
0.01,0.001,0.0372,0,1000,19561930
0.1,0.001,0.0366,0,1000,19561831
0.1,0.001,0.0407,0,1000,19561832
0.1,0.001,0.0354,0,1000,19561833
0.1,0.001,0.0378,0,1000,19561834
0.1,0.001,0.0506,0,1000,19561835
0.1,0.001,0.0359,0,1000,19561836
0.1,0.001,0.0373,0,1000,19561837
0.1,0.001,0.0365,0,1000,19561838
0.1,0.001,0.0359,0,1000,19561839
0.1,0.001,0.0344,0,1000,19561840
0.1,0.001,0.0384,0,1000,19561841
0.1,0.001,0.0331,0,1000,19561842
0.1,0.001,0.039,0,1000,19561843
0.1,0.001,0.0336,0,1000,19561844
0.1,0.001,0.0371,0,1000,19561845
0.1,0.001,0.034,0,1000,19561846
0.1,0.001,0.0414,0,1000,19561847
0.1,0.001,0.0406,0,1000,19561848
0.1,0.001,0.0353,0,1000,19561849
0.1,0.001,0.0384,0,1000,19561850
0.1,0.001,0.0396,0,1000,19561851
0.1,0.001,0.0332,0,1000,19561852
0.1,0.001,0.0373,0,1000,19561853
0.1,0.001,0.0355,0,1000,19561854
0.1,0.001,0.0353,0,1000,19561855
0.1,0.001,0.038,0,1000,19561856
0.1,0.001,0.0375,0,1000,19561857
0.1,0.001,0.0331,0,1000,19561858
0.1,0.001,0.0369,0,1000,19561859
0.1,0.001,0.0428,0,1000,19561860
0.1,0.001,0.0333,0,1000,19561861
0.1,0.001,0.0401,0,1000,19561862
0.1,0.001,0.0361,0,1000,19561863
0.1,0.001,0.0358,0,1000,19561864
0.1,0.001,0.0345,0,1000,19561865
0.1,0.001,0.0346,0,1000,19561866
0.1,0.001,0.0339,0,1000,19561867
0.1,0.001,0.0391,0,1000,19561868
0.1,0.001,0.0319,0,1000,19561869
0.1,0.001,0.0361,0,1000,19561870
0.1,0.001,0.0342,0,1000,19561871
0.1,0.001,0.0365,0,1000,19561872
0.1,0.001,0.0362,0,1000,19561873
0.1,0.001,0.0373,0,1000,19561874
0.1,0.001,0.0332,0,1000,19561875
0.1,0.001,0.0389,0,1000,19561876
0.1,0.001,0.0352,0,1000,19561877
0.1,0.001,0.0314,0,1000,19561878
0.1,0.001,0.0361,0,1000,19561879
0.1,0.001,0.0344,0,1000,19561880
0.1,0.001,0.0394,0,1000,19561881
